COUNTY,PAVED,INFRA_BUDGET_REC,INFRA_BUDGET_DEV
Baringo,15.7,62M,402M
Bomet,5.4,153M,436M
Bungoma,6,94M,1380M
Busia,4.9,75M,341M
Elgeyo Marakwet,5.7,45M,440M
Embu,4.5,35M,525M
Garissa,13,110M,1000M
Homa Bay,4.8,51M,555M
Isiolo,0.2,26M,343M
Kajiado,5.9,64M,617M
Kakamega,4.9,44M,1277M
Kericho,13.8,52M,716M
Kiambu,16,324M,895M
Kilifi,7.3,329M,1163M
Kirinyaga,6.6,14M,357M
Kisii,5.2,125M,885M
Kisumu,14.2,109M,670M
Kitui,2.4,300M,1419M
Kwale,5.5,111M,300M
Laikipia,6.3,13M,384M
Lamu,1.3,55M,270M
Machakos,6.9,159M,1366M
Makueni,3.2,158M,460M
Mandera,0,67M,3000M
Marsabit,0,63M,215M
Meru,5.4,146M,1022M
Migori,4.7,21M,647M
Mombasa,28.6,332M,597M
Murang'a,9.7,224M,681M
Nairobi,,1416M,4289M
Nakuru,8.3,299M,1046M
Nandi,7.9,160M,741M
Narok,4.6,38M,1539M
Nyamira,6.9,47M,667M
Nyandarua,3.5,75M,669M
Nyeri,8.9,106M,510M
Samburu,,101M,859M
Siaya,6.4,43M,495M
Taita Taveta,22.3,9M,206M
Tana River,11.1,65M,1218M
Tharaka-Nithi,0,51M,524M
Trans Nzoia,9.3,205M,447M
Turkana,9.3,82M,1030M
Uasin Gishu,7.6,253M,1620M
Vihiga,16.6,113M,682M
Wajir,0.2,49M,1655M
West Pokot,7.1,48M,374M
