Baringo,15.7
Bomet,5.4
Bungoma,6
Busia,4.9
Elgeyo Marakwet,5.7
Embu,4.5
Garissa,13
Homa Bay,4.8
Isiolo,0.2
Kajiado,5.9
Kakamega,4.9
Kericho,13.8
Kiambu,16
Kilifi,7.3
Kirinyaga,6.6
Kisii,5.2
Kisumu,14.2
Kitui,2.4
Kwale,5.5
Laikipia,6.3
Lamu,1.3
Machakos,6.9
Makueni,3.2
Mandera,0
Marsabit,0
Meru,5.4
Migori,4.7
Mombasa,28.6
Murang'a,9.7
Nairobi,
Nakuru,8.3
Nandi,7.9
Narok,4.6
Nyamira,6.9
Nyandarua,3.5
Nyeri,8.9
Samburu,
Siaya,6.4
Taita Taveta,22.3
Tana River,11.1
Tharaka - Nithi,0
Trans Nzoia,9.3
Turkana,9.3
Uasin Gishu,7.6
Vihiga,16.6
Wajir,0.2
West Pokot,7.1
